datetime_kst,rule,value
2026-06-12 01:30,VIX 20 돌파(주의),21.31
2026-06-12 01:30,나스닥선물 +3% 급반등,15.858
2026-06-12 01:30,미10Y 급등(+10bp),0.32
2026-06-12 01:30,원/달러 일중 +1%,3.915
2026-06-12 01:58,VIX 20 돌파(주의),21.3
2026-06-12 04:20,VIX 20 하향 안정 복귀,19.61
2026-06-12 06:33,나스닥선물 +3% 급반등,3.079
2026-06-12 15:20,한·미 디커플링(4%p),4.95%p
2026-06-16 01:17,나스닥선물 +3% 급반등,4.121
2026-06-16 09:12,한·미 디커플링(4%p),6.17%p
2026-06-18 08:42,원/달러 일중 +1%,1.089
2026-06-18 16:04,원/달러 일중 +1%,1.133
2026-06-19 02:43,나스닥선물 +3% 급반등,3.51
2026-06-23 13:36,한·미 디커플링(4%p),-4.16%p
2026-06-23 17:19,VIX 20 돌파(주의),20.35
2026-06-23 17:19,나스닥선물 -2%(주의),-2.526
2026-06-23 20:35,VIX 20 하향 안정 복귀,19.8
2026-06-24 03:31,나스닥선물 -3%(경고),-3.014
2026-06-24 08:20,나스닥선물 -3%(경고),-3.368
2026-06-24 14:34,원/달러 1540 돌파,1541.49
2026-06-25 09:17,원/달러 1540 돌파,1546.58
2026-06-25 09:17,한·미 디커플링(4%p),-8.39%p
2026-06-25 19:52,원/달러 1540 돌파,1542.3
2026-06-26 14:55,한·미 디커플링(4%p),-4.37%p
2026-06-26 18:38,VIX 20 돌파(주의),20.25
2026-06-26 23:44,VIX 20 하향 안정 복귀,19.07
2026-06-29 13:20,원/달러 1540 돌파,1545.42
2026-06-30 05:49,원/달러 1540 돌파,1540.1
2026-06-30 17:54,원/달러 일중 +1%,1.118
2026-07-01 10:36,원/달러 일중 +1%,1.092
2026-07-01 19:15,원/달러 일중 +1%,1.043
2026-07-01 22:13,미10Y 급등(+10bp),0.119
2026-07-02 05:11,미10Y 급등(+10bp),0.103
2026-07-02 13:35,한·미 디커플링(4%p),-5.17%p
2026-07-03 02:01,미10Y 급등(+10bp),0.105
2026-07-03 03:44,나스닥선물 -2%(주의),-2.041
2026-07-03 14:12,원/달러 1540 돌파,1544.18
2026-07-07 10:11,한·미 디커플링(4%p),-5.38%p
2026-07-08 05:26,WTI 일중 +5% 급등,5.062
2026-07-08 09:10,나스닥선물 -2%(주의),-2.173
2026-07-08 15:18,한·미 디커플링(4%p),-4.24%p
2026-07-08 18:03,WTI 일중 +5% 급등,5.75
2026-07-09 00:23,WTI 일중 +5% 급등,7.325
2026-07-09 05:03,WTI 일중 +5% 급등,5.182
2026-07-10 14:12,한·미 디커플링(4%p),5.23%p
2026-07-14 02:34,WTI 일중 +5% 급등,6.344
2026-07-14 06:28,나스닥선물 -2%(주의),-2.01
2026-07-14 08:29,나스닥선물 -2%(주의),-2.144
2026-07-14 13:09,나스닥선물 -2%(주의),-2.028
2026-07-15 09:54,한·미 디커플링(4%p),6.49%p
2026-07-16 13:26,한·미 디커플링(4%p),-6.06%p
2026-07-17 10:05,나스닥선물 -2%(주의),-2.096
2026-07-17 13:22,한·미 디커플링(4%p),-5.14%p
2026-07-17 17:55,나스닥선물 -2%(주의),-2.136
2026-07-17 23:00,나스닥선물 -2%(주의),-2.504
2026-07-22 12:45,한·미 디커플링(4%p),5.07%p
2026-07-23 10:17,한·미 디커플링(4%p),4.43%p
